Quantity;Value;Footprint;Refs
13;100nF;C0603 X5R/X7R;C1, C2, C3, C4, C6, C7, C8, C11, C13, C14, C15, C16, C17
8;4.7uF;C0603 X5R/X7R;C5, C9, C10, C12, C20, C21, C27, C28
;;;
1;1;R0603;R42
1;100;R0603;R5
5;10k;R0603;R1, R2, R3, R4, R6
;;;
1;SG-5032CAN;Oscillator 5.0x3.2mm;X1
;;;
1;ICE40UP5K-SG48ITR50;QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm;U1
1;W25Q16JVSNIQ;SOIC-8_3.9x4.9mm_P1.27mm;U2
4;SN74CBTD3861PWR;TSSOP-24_4.4x7.8mm_P0.65mm;U5, U6, U7, U8
1;LDL1117S33R;SOT-223-3_TabPin2;U3
1;MCP1700T-1202E/TT;SOT-23;U4
;;;
2;Pin1-20, Pin21-40;Samtec TS-120-T-A;J1, J2
